table_version,run,model,baseline_role,interface,prompt_variant,max_new_tokens,n,main_strict_final_answer_accuracy,math_native_auxiliary_score,boxed_correct_rate,runner_fallback_proxy_accuracy,final_marker_present_rate,eos_rate,max_token_rate,score_policy,baseline_status,source_outputs_path,claim_boundary
model_native_baseline_table_v1,qwen2_5_1_5b_exact_completion_max192,Qwen/Qwen2.5-1.5B,weak_same_family_reference,completion,exact_arithmetic_final_answer_v1,192,25,0.0,,,0.0,1.0,1.0,0.0,strict_main_only,not_strong_numeric_failure,results/strong_baseline_protocol_v2_ab/qwen2_5_1_5b_exact_completion_max192/scale_model_diagnostic_outputs.jsonl,"Do not combine strict, math-native auxiliary, and fallback proxy scores. This table is dev-only and does not show LoRA/SFT/selection effectiveness."
model_native_baseline_table_v1,qwen3_1_7b_exact_chat_max192,Qwen/Qwen3-1.7B,small_general_model_native_reference,chat_native_no_thinking,qwen3_chat_exact_arithmetic_final_answer_v1,192,25,0.32,,,0.32,1.0,1.0,0.0,strict_main,model_native_reference,results/strong_baseline_protocol_v2_ab/qwen3_1_7b_exact_chat_max192/scale_model_diagnostic_outputs.jsonl,"Do not combine strict, math-native auxiliary, and fallback proxy scores. This table is dev-only and does not show LoRA/SFT/selection effectiveness."
model_native_baseline_table_v1,qwen3_4b_exact_chat_max192,Qwen/Qwen3-4B,strongest_small_general_reference,chat_native_no_thinking,qwen3_chat_exact_arithmetic_final_answer_v1,192,25,0.84,,,0.84,1.0,1.0,0.0,strict_main,current_strongest_small_general_reference,results/qwen3_4b_reasoning_protocol_diagnostic/qwen3_4b_exact_arithmetic_final_answer_max192/scale_model_diagnostic_outputs.jsonl,"Do not combine strict, math-native auxiliary, and fallback proxy scores. This table is dev-only and does not show LoRA/SFT/selection effectiveness."
model_native_baseline_table_v1,qwen2_5_math_1_5b_exact_completion_max384,Qwen/Qwen2.5-Math-1.5B,math_native_auxiliary_sanity_control,completion_math_native_outputs,exact_arithmetic_final_answer_v1,384,25,0.0,0.72,0.6,0.64,0.92,0.76,0.24,math_auxiliary_not_main,auxiliary_only_boxed_or_formula_signal,results/qwen2_5_math_budget_interface_diagnostic/qwen2_5_math_1_5b_exact_completion_max384/scale_model_diagnostic_outputs.jsonl,"Do not combine strict, math-native auxiliary, and fallback proxy scores. This table is dev-only and does not show LoRA/SFT/selection effectiveness."
